,Gender,Age,Education,EducationField,JobRole,YearsAtCompany,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,MonthlyIncome,Compensation
25,M,34.0,Bachelors,Life Sciences,Human Resources,10.0,Travel_Frequently,Operations,High,Medium,Associate,Medium,4.0,No,Excellent,Very High,14.0,5.0,4.0,9.0,1.0,8.0,8.345,NY,44.0,Married,11.0,Large Option Plan,4490.0,Low
26,M,46.0,Some College,Life Sciences,Human Resources,7.0,Travel_Rarely,Operations,Very High,High,Junior Associate,Low,6.0,No,Excellent,High,10.0,3.0,4.0,6.0,5.0,7.0,5.4785,NY,23.0,Single,12.0,No Option Plan,3423.0,Low
27,M,56.0,Masters,Life Sciences,Manager,7.0,Travel_Rarely,Operations,Very High,High,VP to C-Level,Medium,6.0,No,Excellent,Low,36.0,4.0,3.0,3.0,7.0,7.0,6.5731,NJ,23.0,Single,14.0,No Option Plan,19717.0,Low
28,M,51.0,Bachelors,Life Sciences,Manager,33.0,Travel_Rarely,Operations,High,High,Executive,Medium,1.0,Yes,Excellent,Medium,33.0,2.0,3.0,9.0,0.0,10.0,8.9588,NY,20.0,Divorced,11.0,Full Option Plan,14026.0,High
29,M,42.0,Bachelors,Human Resources,Manager,20.0,Travel_Rarely,Operations,High,High,Executive,Low,0.0,No,Excellent,High,21.0,5.0,3.0,7.0,0.0,9.0,9.3038,NJ,46.0,Married,14.0,Full Option Plan,16799.0,High
30,M,29.0,Bachelors,Other,Human Resources,10.0,Travel_Rarely,Human Resources,Medium,Medium,Manager,Low,1.0,No,Excellent,Low,10.0,3.0,2.0,9.0,0.0,9.0,9.1774,NJ,21.0,Single,13.0,No Option Plan,7988.0,Low
31,M,31.0,Some College,Medical,Human Resources,3.0,Travel_Rarely,Human Resources,Very High,Very High,Junior Associate,Medium,9.0,No,Excellent,Very High,8.0,3.0,3.0,2.0,0.0,2.0,5.8189,NJ,42.0,Single,18.0,No Option Plan,2109.0,High
32,F,30.0,Bachelors,Life Sciences,Human Resources,5.0,Travel_Rarely,Human Resources,High,High,Junior Associate,High,0.0,No,Outstanding,Low,6.0,3.0,4.0,3.0,1.0,3.0,6.6768,NJ,29.0,Divorced,21.0,Full Option Plan,2064.0,Low
33,M,40.0,Some College,Medical,Manager,21.0,Travel_Rarely,Human Resources,High,High,Executive,Very High,1.0,Yes,Outstanding,Very High,21.0,2.0,3.0,7.0,7.0,7.0,4.89,NJ,41.0,Single,21.0,No Option Plan,16437.0,High
34,F,38.0,Masters,Human Resources,Human Resources,6.0,Travel_Frequently,Information Technology,High,High,Associate,High,3.0,No,Excellent,High,10.0,2.0,3.0,3.0,1.0,2.0,9.3886,NY,49.0,Married,11.0,No Option Plan,6077.0,Low
35,F,47.0,Masters,Life Sciences,Manager,5.0,Travel_Rarely,Information Technology,Very High,High,VP to C-Level,High,3.0,No,Excellent,High,27.0,2.0,3.0,2.0,1.0,0.0,1.2346,NY,24.0,Married,11.0,Full Option Plan,19658.0,Low
36,M,44.0,Doctorate,Human Resources,Human Resources,10.0,Travel_Frequently,Information Technology,Low,High,Associate,Very High,4.0,Yes,Excellent,High,14.0,3.0,3.0,7.0,0.0,2.0,9.0356,NY,34.0,Married,11.0,No Option Plan,5743.0,High
37,M,44.0,Bachelors,Life Sciences,Human Resources,2.0,Travel_Rarely,Information Technology,High,High,Junior Associate,Very High,4.0,Yes,Excellent,Low,8.0,2.0,3.0,2.0,2.0,2.0,8.0455,NJ,33.0,Divorced,18.0,Small Option Plan,3195.0,Low
38,M,41.0,Bachelors,Human Resources,Human Resources,3.0,Non-Travel,Finance,High,Low,Associate,Medium,6.0,No,Excellent,Medium,10.0,4.0,3.0,2.0,1.0,2.0,7.723,NY,48.0,Married,19.0,Full Option Plan,6430.0,Low
39,M,45.0,Bachelors,Life Sciences,Human Resources,5.0,Travel_Rarely,Finance,High,Low,Manager,High,4.0,No,Outstanding,High,9.0,2.0,4.0,0.0,0.0,3.0,9.6737,NJ,46.0,Married,21.0,Large Option Plan,9756.0,Low
40,F,24.0,Bachelors,Medical,Human Resources,2.0,Travel_Frequently,Finance,Low,High,Junior Associate,Very High,0.0,No,Excellent,Very High,3.0,2.0,3.0,2.0,2.0,1.0,5.706,NJ,43.0,Married,14.0,Full Option Plan,2145.0,Low
41,M,43.0,Bachelors,Life Sciences,Human Resources,9.0,Travel_Rarely,Finance,Medium,High,Junior Associate,Very High,0.0,No,Excellent,Medium,10.0,5.0,3.0,7.0,1.0,8.0,4.6681,NY,43.0,Single,13.0,No Option Plan,3539.0,Low
42,F,37.0,Some College,Other,Human Resources,10.0,Travel_Rarely,Finance,High,High,Associate,Medium,2.0,No,Excellent,High,19.0,4.0,2.0,0.0,4.0,7.0,0.5022,NY,36.0,Divorced,13.0,No Option Plan,4071.0,Low
43,F,38.0,Bachelors,Human Resources,Human Resources,11.0,Non-Travel,Human Resources,Low,High,Junior Associate,Medium,5.0,No,Excellent,Very High,13.0,3.0,3.0,10.0,3.0,8.0,2.0988,NJ,32.0,Divorced,13.0,Small Option Plan,2592.0,High
44,M,28.0,Some College,Life Sciences,Human Resources,3.0,Non-Travel,Human Resources,High,High,Junior Associate,Very High,1.0,No,Excellent,Medium,3.0,2.0,3.0,2.0,2.0,2.0,6.6532,NY,44.0,Divorced,15.0,Full Option Plan,2706.0,Low
45,F,29.0,Below College,Medical,Human Resources,1.0,Travel_Rarely,Human Resources,Very High,Medium,Junior Associate,Medium,1.0,No,Excellent,Very High,1.0,3.0,3.0,0.0,0.0,0.0,8.1063,NY,47.0,Married,11.0,No Option Plan,2804.0,High
46,F,36.0,Below College,Human Resources,Human Resources,10.0,Travel_Frequently,Human Resources,Medium,Medium,Associate,Very High,1.0,No,Outstanding,Very High,10.0,2.0,2.0,1.0,0.0,8.0,8.1486,NJ,34.0,Single,21.0,No Option Plan,3886.0,High
47,M,38.0,Masters,Other,Human Resources,6.0,Travel_Frequently,Human Resources,Very High,High,Junior Associate,Medium,0.0,Yes,Excellent,Medium,7.0,2.0,3.0,2.0,1.0,2.0,5.7058,NY,21.0,Married,11.0,Full Option Plan,2991.0,High
48,M,55.0,Masters,Human Resources,Manager,10.0,Travel_Rarely,Human Resources,High,Very High,VP to C-Level,Medium,4.0,Yes,Excellent,Low,35.0,0.0,3.0,9.0,1.0,4.0,7.2237,NJ,44.0,Married,18.0,Full Option Plan,19636.0,High
49,M,25.0,Bachelors,Human Resources,Human Resources,2.0,Travel_Rarely,Human Resources,High,High,Junior Associate,Medium,4.0,No,Excellent,High,6.0,3.0,3.0,0.0,1.0,2.0,8.9723,NY,46.0,Married,14.0,No Option Plan,2187.0,High
50,F,35.0,Masters,Life Sciences,Human Resources,9.0,Travel_Rarely,Human Resources,High,High,Manager,Very High,1.0,Yes,Excellent,High,9.0,2.0,3.0,0.0,1.0,7.0,8.2361,NY,27.0,Single,16.0,No Option Plan,8837.0,High
51,M,49.0,Below College,Life Sciences,Research Scientist,10.0,Travel_Frequently,Information Technology,High,Medium,Associate,Medium,1.0,No,Outstanding,Very High,10.0,3.0,3.0,7.0,1.0,7.0,8.5005,NJ,25.0,Married,23.0,Full Option Plan,5130.0,High
52,M,33.0,Masters,Life Sciences,Research Scientist,8.0,Travel_Frequently,Marketing,Very High,High,Junior Associate,High,1.0,Yes,Excellent,High,8.0,3.0,3.0,7.0,3.0,0.0,6.4257,NY,34.0,Married,11.0,No Option Plan,2909.0,Low
53,F,27.0,Below College,Medical,Laboratory Technician,2.0,Travel_Rarely,Marketing,Low,High,Junior Associate,Medium,9.0,No,Excellent,Very High,6.0,3.0,3.0,2.0,2.0,2.0,8.8952,NY,36.0,Married,12.0,Full Option Plan,3468.0,High
54,F,32.0,Some College,Life Sciences,Laboratory Technician,7.0,Travel_Frequently,Marketing,Very High,High,Junior Associate,Very High,0.0,No,Excellent,High,8.0,2.0,2.0,7.0,3.0,6.0,8.6033,NY,24.0,Single,13.0,No Option Plan,3068.0,Low
55,F,59.0,Bachelors,Medical,Laboratory Technician,1.0,Travel_Rarely,Marketing,High,Very High,Junior Associate,Low,4.0,Yes,Outstanding,Low,12.0,3.0,2.0,0.0,0.0,0.0,1.6171,NY,48.0,Married,20.0,Small Option Plan,2670.0,Low
56,M,30.0,Below College,Life Sciences,Laboratory Technician,1.0,Travel_Rarely,Operations,Very High,High,Junior Associate,High,1.0,No,Outstanding,Medium,1.0,2.0,3.0,0.0,0.0,0.0,6.6039,NY,21.0,Divorced,22.0,Full Option Plan,2693.0,High
57,F,38.0,Bachelors,Life Sciences,Manufacturing Director,9.0,Travel_Frequently,Operations,Very High,Medium,Manager,High,0.0,No,Outstanding,Medium,10.0,2.0,3.0,7.0,1.0,8.0,5.4618,NJ,34.0,Single,21.0,No Option Plan,9526.0,High
58,F,36.0,Bachelors,Medical,Healthcare Representative,7.0,Travel_Rarely,Operations,High,High,Associate,High,6.0,No,Excellent,Medium,17.0,3.0,2.0,7.0,7.0,7.0,5.1362,NY,31.0,Married,13.0,Large Option Plan,5237.0,High
59,M,35.0,Bachelors,Medical,Laboratory Technician,5.0,HR,Operations,Low,Very High,Junior Associate,Medium,0.0,No,Excellent,High,6.0,5.0,3.0,4.0,0.0,3.0,7.8332,NY,40.0,Married,13.0,Full Option Plan,2426.0,High
60,M,29.0,Some College,Life Sciences,Laboratory Technician,9.0,Travel_Rarely,Operations,Very High,Medium,Associate,High,0.0,Yes,Excellent,Very High,10.0,3.0,3.0,5.0,0.0,8.0,4.061,NY,23.0,Single,12.0,No Option Plan,4193.0,Low
61,M,31.0,Below College,Life Sciences,Research Scientist,5.0,Travel_Rarely,Operations,Low,High,Junior Associate,High,1.0,No,Excellent,Very High,5.0,1.0,2.0,2.0,4.0,3.0,2.03,NY,48.0,Divorced,17.0,Full Option Plan,2911.0,High
62,M,34.0,Some College,Medical,Laboratory Technician,2.0,Travel_Rarely,Operations,Medium,High,Junior Associate,Very High,0.0,No,Excellent,High,3.0,2.0,3.0,2.0,1.0,2.0,9.0226,NY,31.0,Divorced,11.0,Full Option Plan,2661.0,High
63,M,29.0,Masters,Life Sciences,Manufacturing Director,10.0,Travel_Rarely,Research & Development,Medium,Very High,Manager,Low,1.0,No,Excellent,High,10.0,1.0,3.0,9.0,8.0,8.0,2.9345,NJ,20.0,Divorced,11.0,Full Option Plan,9980.0,High
64,M,32.0,Some College,Life Sciences,Research Scientist,6.0,Travel_Rarely,Research & Development,Low,Very High,Junior Associate,Medium,0.0,Yes,Excellent,Very High,7.0,5.0,2.0,2.0,0.0,5.0,3.137,NY,49.0,Divorced,12.0,Large Option Plan,3298.0,Low
65,M,22.0,Some College,Medical,Laboratory Technician,1.0,Non-Travel,Research & Development,Very High,Very High,Junior Associate,Very High,1.0,Yes,Excellent,Medium,1.0,2.0,2.0,0.0,0.0,0.0,3.9769,NY,25.0,Divorced,13.0,Large Option Plan,2935.0,High
66,F,38.0,Bachelors,Life Sciences,Research Scientist,3.0,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Very High,5.0,Yes,Excellent,High,6.0,3.0,3.0,2.0,1.0,2.0,7.5722,NY,41.0,Single,11.0,No Option Plan,3944.0,High
67,M,24.0,Some College,Other,Manufacturing Director,4.0,Non-Travel,Research & Development,Low,Very High,Associate,High,0.0,No,Excellent,Very High,5.0,5.0,2.0,2.0,1.0,3.0,9.1638,NY,45.0,Divorced,18.0,Full Option Plan,4011.0,High
68,F,34.0,Masters,Life Sciences,Research Director,12.0,Travel_Rarely,Finance,Low,High,Manager,Medium,0.0,No,Excellent,High,13.0,4.0,3.0,6.0,2.0,11.0,8.9296,NY,23.0,Single,11.0,No Option Plan,11994.0,Low
69,M,21.0,Some College,Life Sciences,Research Scientist,0.0,Travel_Rarely,Finance,High,High,Junior Associate,Very High,1.0,No,Excellent,Very High,0.0,6.0,3.0,0.0,0.0,0.0,7.1259,NY,44.0,Single,14.0,No Option Plan,1232.0,High
70,F,53.0,Bachelors,Other,Manager,14.0,Travel_Rarely,Finance,High,High,VP to C-Level,High,4.0,No,Excellent,Very High,26.0,3.0,2.0,13.0,4.0,8.0,8.7611,NJ,24.0,Divorced,11.0,Full Option Plan,19094.0,Low
71,F,44.0,Masters,Medical,Healthcare Representative,22.0,Travel_Rarely,Finance,Low,Medium,Manager,Very High,3.0,No,Excellent,Very High,24.0,4.0,3.0,6.0,5.0,17.0,5.4749,NY,32.0,Married,14.0,Full Option Plan,10248.0,Low
72,M,33.0,Bachelors,Medical,Laboratory Technician,1.0,Travel_Rarely,Finance,High,High,Junior Associate,Very High,4.0,No,Excellent,Very High,7.0,3.0,3.0,1.0,0.0,0.0,6.036,NY,26.0,Single,11.0,No Option Plan,2496.0,Low
73,M,44.0,Masters,Other,Healthcare Representative,4.0,Travel_Rarely,Information Technology,Very High,High,Associate,Very High,2.0,Yes,Excellent,Very High,9.0,5.0,4.0,2.0,1.0,3.0,6.2354,NJ,23.0,Married,13.0,No Option Plan,6465.0,High
74,M,30.0,Some College,Medical,Laboratory Technician,10.0,Travel_Rarely,Information Technology,Very High,Medium,Junior Associate,High,1.0,No,Excellent,Low,10.0,5.0,3.0,0.0,1.0,8.0,3.4916,NJ,49.0,Single,13.0,No Option Plan,2206.0,Low
75,M,43.0,Some College,Medical,Research Scientist,5.0,Travel_Rarely,Information Technology,Very High,Very High,Junior Associate,High,1.0,No,Excellent,Very High,6.0,3.0,2.0,3.0,1.0,4.0,6.2481,NY,26.0,Divorced,12.0,Large Option Plan,2645.0,Low
76,M,36.0,Masters,Life Sciences,Research Scientist,1.0,Travel_Rarely,Research & Development,Medium,Medium,Junior Associate,Low,9.0,Yes,Excellent,Very High,6.0,3.0,4.0,1.0,0.0,0.0,8.149,NJ,44.0,Married,14.0,Full Option Plan,3419.0,Low
77,M,35.0,Some College,Other,Laboratory Technician,1.0,Travel_Rarely,Research & Development,High,High,Junior Associate,Very High,1.0,No,Excellent,High,1.0,3.0,3.0,0.0,0.0,0.0,6.735,NJ,36.0,Divorced,12.0,Full Option Plan,1951.0,High
78,M,27.0,Masters,Life Sciences,Laboratory Technician,1.0,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Low,1.0,No,Excellent,Very High,1.0,6.0,3.0,0.0,0.0,0.0,7.4187,NY,47.0,Divorced,13.0,Full Option Plan,2341.0,High
79,M,30.0,Some College,Medical,Laboratory Technician,12.0,Travel_Frequently,Research & Development,High,High,Associate,Very High,1.0,No,Outstanding,Very High,12.0,2.0,3.0,8.0,3.0,7.0,13.3859,NJ,25.0,Single,23.0,No Option Plan,4011.0,High
80,M,37.0,Some College,Life Sciences,Research Scientist,1.0,Travel_Rarely,Research & Development,Medium,High,Junior Associate,Medium,4.0,No,Outstanding,Low,8.0,1.0,3.0,0.0,0.0,0.0,6.728,NJ,48.0,Married,21.0,No Option Plan,3022.0,High
81,F,35.0,Below College,Life Sciences,Laboratory Technician,1.0,Travel_Rarely,Finance,Very High,Very High,Junior Associate,Very High,1.0,No,Excellent,Very High,1.0,2.0,3.0,0.0,0.0,1.0,4.149,NY,40.0,Married,19.0,No Option Plan,2269.0,High
82,M,35.0,Some College,Medical,Healthcare Representative,4.0,Non-Travel,Finance,High,Medium,Manager,Low,2.0,Yes,Excellent,High,10.0,3.0,3.0,0.0,2.0,3.0,15.0132,NJ,41.0,Married,13.0,Full Option Plan,9884.0,High
83,M,33.0,Some College,Life Sciences,Research Director,15.0,Travel_Frequently,Finance,Low,High,Manager,Very High,1.0,Yes,Excellent,High,15.0,1.0,3.0,14.0,8.0,12.0,4.4333,NJ,42.0,Single,12.0,No Option Plan,13458.0,Low
84,M,35.0,Masters,Medical,Laboratory Technician,2.0,Travel_Rarely,Finance,High,High,Junior Associate,Low,3.0,Yes,Excellent,High,4.0,3.0,3.0,2.0,2.0,2.0,16.3831,NY,31.0,Married,15.0,Full Option Plan,4014.0,High
85,M,31.0,Masters,Life Sciences,Laboratory Technician,7.0,Travel_Rarely,Finance,Very High,High,Associate,Very High,3.0,No,Outstanding,Very High,10.0,3.0,2.0,7.0,1.0,7.0,10.2809,NY,34.0,Divorced,22.0,Full Option Plan,5915.0,Low
86,M,37.0,Masters,Life Sciences,Manufacturing Director,7.0,Travel_Rarely,Operations,Low,Medium,Associate,High,1.0,No,Excellent,High,7.0,2.0,4.0,5.0,0.0,7.0,13.6378,NY,19.0,Divorced,18.0,Full Option Plan,5993.0,High
87,M,32.0,Bachelors,Medical,Manufacturing Director,9.0,Travel_Rarely,Operations,Low,High,Associate,Very High,1.0,Yes,Outstanding,Medium,9.0,3.0,3.0,8.0,7.0,8.0,6.7039,NJ,46.0,Married,22.0,Full Option Plan,6162.0,Low
88,F,38.0,Doctorate,Life Sciences,Laboratory Technician,10.0,Travel_Frequently,Operations,Very High,High,Associate,Very High,1.0,No,Excellent,Very High,10.0,2.0,3.0,3.0,9.0,9.0,15.0826,NJ,36.0,Single,11.0,No Option Plan,2406.0,Low
89,M,50.0,Some College,Medical,Research Director,27.0,Travel_Rarely,Operations,Medium,Medium,VP to C-Level,High,5.0,Yes,Excellent,Very High,29.0,2.0,2.0,3.0,13.0,8.0,5.5501,NY,49.0,Divorced,12.0,Full Option Plan,18740.0,High
90,M,36.0,Bachelors,Technical Degree,Healthcare Representative,17.0,Travel_Rarely,Operations,High,High,Manager,High,1.0,No,Excellent,Medium,17.0,2.0,3.0,14.0,12.0,8.0,18.7621,NJ,22.0,Divorced,13.0,Small Option Plan,10096.0,High
91,M,55.0,Bachelors,Medical,Manager,5.0,Travel_Rarely,Research & Development,Very High,High,Executive,High,2.0,Yes,Excellent,High,21.0,2.0,3.0,0.0,0.0,2.0,6.3958,NJ,40.0,Divorced,14.0,Small Option Plan,14756.0,High
92,M,36.0,Bachelors,Life Sciences,Manufacturing Director,6.0,Travel_Frequently,Research & Development,Medium,Medium,Associate,Medium,1.0,No,Excellent,High,6.0,3.0,3.0,5.0,0.0,3.0,10.4402,NJ,29.0,Single,13.0,No Option Plan,6499.0,Low
93,M,45.0,Bachelors,Life Sciences,Research Scientist,1.0,Travel_Rarely,Research & Development,Medium,High,Manager,Low,2.0,No,Excellent,High,25.0,2.0,3.0,0.0,0.0,0.0,16.4957,NJ,42.0,Divorced,17.0,Full Option Plan,9724.0,Low
94,M,35.0,Bachelors,Medical,Research Scientist,3.0,Travel_Frequently,Research & Development,Medium,High,Junior Associate,Low,4.0,No,Excellent,Very High,5.0,2.0,2.0,2.0,1.0,2.0,12.8825,NJ,26.0,Married,13.0,Full Option Plan,2194.0,High
95,M,29.0,Bachelors,Life Sciences,Research Scientist,5.0,Travel_Rarely,Research & Development,High,High,Junior Associate,Medium,0.0,No,Outstanding,Very High,6.0,3.0,3.0,4.0,0.0,4.0,18.7865,NJ,34.0,Married,23.0,Full Option Plan,2703.0,High
96,M,31.0,Masters,Medical,Research Scientist,1.0,Travel_Rarely,Research & Development,High,High,Junior Associate,Medium,1.0,No,Excellent,Medium,1.0,4.0,3.0,1.0,1.0,0.0,7.2544,NY,29.0,Single,17.0,No Option Plan,2501.0,High
97,M,32.0,Bachelors,Life Sciences,Research Scientist,10.0,Travel_Rarely,Research & Development,Medium,High,Associate,Medium,1.0,No,Excellent,Medium,10.0,3.0,3.0,4.0,0.0,9.0,14.8337,NY,46.0,Married,17.0,Large Option Plan,6220.0,High
98,M,36.0,Bachelors,Life Sciences,Laboratory Technician,1.0,Travel_Rarely,Research & Development,Medium,Very High,Junior Associate,Very High,3.0,No,Excellent,Medium,5.0,3.0,3.0,0.0,0.0,0.0,4.1466,NY,24.0,Married,12.0,No Option Plan,3038.0,Low
99,M,31.0,Masters,Life Sciences,Manufacturing Director,11.0,Travel_Rarely,Research & Development,High,High,Associate,Very High,1.0,No,Outstanding,Very High,11.0,2.0,3.0,7.0,1.0,8.0,15.7664,NJ,45.0,Single,23.0,No Option Plan,4424.0,High
100,M,45.0,Masters,Other,Research Director,0.0,Travel_Rarely,Research & Development,Very High,High,Manager,Low,4.0,Yes,Excellent,Medium,17.0,3.0,4.0,0.0,0.0,0.0,16.1511,NY,29.0,Married,14.0,No Option Plan,13245.0,High
101,F,37.0,Masters,Medical,Research Director,5.0,Travel_Rarely,Research & Development,Low,High,Manager,High,4.0,No,Excellent,Low,16.0,3.0,4.0,2.0,0.0,2.0,17.5043,NJ,29.0,Single,13.0,No Option Plan,13664.0,High
