,CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Status,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
33,0_to_200,28,credits_paid_to_date,furniture,3519,less_100,4_to_7,4,majority,none,2,savings_insurance,39,none,own,1,skilled,1,yes,yes,No Risk
34,0_to_200,7,credits_paid_to_date,car_new,250,less_100,less_1,1,minority,none,2,real_estate,31,none,own,1,skilled,1,none,yes,Risk
35,less_0,15,prior_payments_delayed,car_used,1420,100_to_500,4_to_7,2,majority,none,3,car_other,35,stores,rent,1,skilled,1,none,yes,No Risk
36,greater_200,14,prior_payments_delayed,car_new,1683,100_to_500,1_to_4,3,majority,co-applicant,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,No Risk
37,no_checking,28,outstanding_credit,car_used,4904,500_to_1000,1_to_4,2,majority,none,3,car_other,40,none,own,1,skilled,2,yes,yes,No Risk
38,no_checking,28,prior_payments_delayed,repairs,3789,100_to_500,4_to_7,4,majority,none,4,car_other,29,none,own,2,skilled,1,none,yes,No Risk
39,no_checking,64,outstanding_credit,retraining,9918,unknown,4_to_7,6,majority,co-applicant,5,unknown,49,none,free,2,skilled,2,yes,yes,No Risk
40,0_to_200,6,all_credits_paid_back,car_used,3115,less_100,1_to_4,2,minority,co-applicant,2,real_estate,27,none,own,1,skilled,1,none,yes,Risk
41,less_0,10,all_credits_paid_back,car_new,1400,less_100,less_1,1,minority,none,1,car_other,28,stores,own,1,skilled,1,none,yes,Risk
42,0_to_200,7,all_credits_paid_back,car_new,250,less_100,less_1,2,majority,none,1,real_estate,22,none,rent,1,skilled,1,none,yes,No Risk
43,no_checking,31,prior_payments_delayed,furniture,7685,100_to_500,4_to_7,4,majority,none,4,unknown,51,none,free,2,skilled,1,yes,yes,No Risk
44,less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,minority,none,1,real_estate,19,stores,own,1,skilled,1,none,yes,Risk
45,no_checking,25,credits_paid_to_date,radio_tv,3818,greater_1000,1_to_4,2,majority,none,4,savings_insurance,36,none,rent,2,skilled,1,none,yes,No Risk
46,0_to_200,19,credits_paid_to_date,car_used,1897,100_to_500,unemployed,1,majority,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
47,less_0,39,outstanding_credit,appliances,4131,100_to_500,1_to_4,4,majority,none,4,unknown,29,bank,own,1,unskilled,1,yes,yes,No Risk
48,no_checking,35,outstanding_credit,repairs,3541,greater_1000,greater_7,5,majority,none,4,car_other,45,none,own,1,skilled,1,yes,yes,No Risk
49,less_0,17,credits_paid_to_date,repairs,3861,less_100,1_to_4,3,majority,none,3,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
50,no_checking,38,outstanding_credit,other,6086,unknown,greater_7,4,minority,co-applicant,5,unknown,44,stores,rent,2,unskilled,2,yes,yes,Risk
51,no_checking,26,prior_payments_delayed,radio_tv,6402,100_to_500,4_to_7,4,minority,none,4,unknown,52,none,free,2,skilled,1,yes,yes,Risk
52,no_checking,8,no_credits,car_new,250,less_100,1_to_4,3,minority,none,3,real_estate,46,none,own,2,management_self-employed,2,none,yes,Risk
53,no_checking,30,outstanding_credit,appliances,7650,500_to_1000,1_to_4,4,minority,none,4,unknown,59,none,free,2,management_self-employed,2,yes,yes,Risk
54,no_checking,28,outstanding_credit,appliances,5990,500_to_1000,greater_7,5,majority,co-applicant,3,car_other,55,none,free,2,skilled,2,yes,yes,No Risk
55,greater_200,22,all_credits_paid_back,car_used,3376,less_100,less_1,3,minority,none,2,car_other,32,none,own,1,skilled,1,none,yes,Risk
56,no_checking,39,credits_paid_to_date,vacation,6434,unknown,greater_7,5,minority,none,4,car_other,39,none,own,2,skilled,2,yes,yes,Risk
57,0_to_200,20,credits_paid_to_date,furniture,2442,less_100,unemployed,3,minority,none,1,real_estate,42,none,own,1,skilled,1,none,yes,Risk
58,greater_200,4,all_credits_paid_back,education,4206,less_100,unemployed,1,minority,none,3,savings_insurance,27,none,own,1,management_self-employed,1,none,yes,Risk
59,greater_200,23,credits_paid_to_date,car_used,2963,greater_1000,greater_7,4,minority,none,4,car_other,46,none,own,2,skilled,1,none,yes,Risk
60,no_checking,31,prior_payments_delayed,vacation,2673,500_to_1000,1_to_4,3,majority,none,2,real_estate,35,stores,rent,1,skilled,2,none,yes,No Risk
61,no_checking,37,prior_payments_delayed,other,6971,500_to_1000,1_to_4,3,majority,none,3,savings_insurance,54,none,own,2,skilled,1,yes,yes,No Risk
62,no_checking,14,all_credits_paid_back,car_new,1525,500_to_1000,4_to_7,3,majority,none,4,real_estate,33,none,own,1,skilled,1,none,yes,No Risk
63,less_0,10,prior_payments_delayed,furniture,4037,less_100,4_to_7,3,majority,none,3,savings_insurance,31,none,rent,1,skilled,1,none,yes,No Risk
64,0_to_200,28,credits_paid_to_date,retraining,1152,less_100,less_1,2,minority,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,Risk
65,less_0,17,credits_paid_to_date,car_new,1880,less_100,less_1,3,minority,co-applicant,2,savings_insurance,41,none,own,1,skilled,1,none,yes,Risk
66,0_to_200,39,prior_payments_delayed,appliances,5685,100_to_500,1_to_4,4,minority,none,2,unknown,37,none,own,2,skilled,1,yes,yes,Risk
67,no_checking,32,prior_payments_delayed,radio_tv,5105,500_to_1000,1_to_4,4,majority,none,5,savings_insurance,44,none,own,2,management_self-employed,1,none,yes,No Risk
68,no_checking,38,prior_payments_delayed,appliances,4990,500_to_1000,greater_7,4,majority,none,4,car_other,50,bank,own,2,unemployed,2,yes,yes,No Risk
69,less_0,17,credits_paid_to_date,furniture,1017,less_100,less_1,2,minority,none,1,car_other,30,none,own,1,skilled,1,none,yes,Risk
70,less_0,33,all_credits_paid_back,car_new,3618,500_to_1000,4_to_7,2,majority,none,3,unknown,31,stores,own,2,unskilled,1,none,yes,No Risk
71,less_0,12,no_credits,car_new,3037,less_100,less_1,1,minority,none,2,car_other,31,stores,own,1,skilled,1,none,yes,Risk
72,no_checking,23,prior_payments_delayed,furniture,1440,100_to_500,1_to_4,3,minority,none,3,real_estate,39,stores,own,1,unskilled,1,yes,yes,Risk
73,less_0,18,prior_payments_delayed,retraining,4032,less_100,1_to_4,2,minority,none,2,car_other,36,none,rent,1,skilled,1,none,yes,Risk
74,no_checking,11,prior_payments_delayed,car_used,944,greater_1000,1_to_4,3,majority,none,4,real_estate,35,none,own,1,management_self-employed,1,yes,yes,No Risk
75,no_checking,36,prior_payments_delayed,appliances,5927,unknown,greater_7,4,majority,co-applicant,3,savings_insurance,47,none,own,2,skilled,1,none,yes,No Risk
76,no_checking,50,outstanding_credit,other,4694,unknown,greater_7,4,minority,none,4,unknown,37,none,own,1,skilled,2,yes,yes,Risk
77,no_checking,32,prior_payments_delayed,radio_tv,10584,100_to_500,1_to_4,3,majority,co-applicant,3,unknown,46,stores,own,2,unskilled,2,yes,yes,No Risk
78,no_checking,41,prior_payments_delayed,furniture,8900,500_to_1000,4_to_7,4,majority,co-applicant,3,car_other,26,none,free,2,skilled,1,yes,yes,No Risk
79,0_to_200,14,credits_paid_to_date,car_used,1144,100_to_500,less_1,2,minority,none,2,real_estate,33,none,rent,1,skilled,1,none,yes,Risk
80,no_checking,14,outstanding_credit,appliances,1680,100_to_500,greater_7,4,majority,none,3,car_other,47,none,own,1,management_self-employed,1,none,yes,No Risk
81,0_to_200,23,credits_paid_to_date,retraining,3387,less_100,less_1,3,minority,none,3,savings_insurance,28,none,own,1,skilled,1,none,yes,Risk
82,no_checking,14,credits_paid_to_date,furniture,1269,500_to_1000,greater_7,2,majority,none,2,savings_insurance,39,none,own,1,skilled,1,none,yes,No Risk
83,no_checking,36,prior_payments_delayed,appliances,9570,100_to_500,4_to_7,4,majority,co-applicant,3,car_other,53,none,free,2,skilled,1,yes,yes,No Risk
84,less_0,16,credits_paid_to_date,car_new,1428,less_100,4_to_7,1,majority,none,1,car_other,20,bank,rent,1,unemployed,1,yes,yes,No Risk
85,no_checking,24,outstanding_credit,car_used,4620,greater_1000,1_to_4,3,majority,none,4,savings_insurance,40,none,own,2,skilled,1,yes,yes,No Risk
86,no_checking,34,prior_payments_delayed,furniture,2196,500_to_1000,greater_7,3,majority,none,4,savings_insurance,27,none,own,1,skilled,1,none,yes,No Risk
87,no_checking,25,prior_payments_delayed,car_used,8708,100_to_500,1_to_4,4,majority,none,5,car_other,43,none,free,2,management_self-employed,1,none,yes,No Risk
88,no_checking,37,outstanding_credit,radio_tv,10550,unknown,greater_7,5,majority,co-applicant,4,unknown,48,stores,own,2,unemployed,2,yes,yes,No Risk
89,no_checking,27,prior_payments_delayed,radio_tv,4981,500_to_1000,4_to_7,4,majority,none,4,savings_insurance,47,none,own,2,management_self-employed,2,yes,yes,No Risk
90,less_0,13,all_credits_paid_back,car_new,2436,less_100,less_1,2,minority,none,1,savings_insurance,19,stores,own,1,skilled,1,none,yes,Risk
91,greater_200,25,outstanding_credit,appliances,4136,100_to_500,4_to_7,3,majority,none,2,car_other,46,bank,own,1,unemployed,1,yes,yes,No Risk
92,no_checking,15,credits_paid_to_date,retraining,4014,less_100,1_to_4,4,majority,co-applicant,4,savings_insurance,33,none,own,1,skilled,1,yes,yes,No Risk
93,no_checking,28,prior_payments_delayed,appliances,5440,100_to_500,4_to_7,3,minority,none,2,unknown,40,none,own,2,skilled,1,yes,yes,Risk
94,less_0,13,prior_payments_delayed,appliances,250,500_to_1000,4_to_7,2,majority,none,3,car_other,28,stores,own,1,skilled,1,none,yes,No Risk
95,less_0,19,credits_paid_to_date,furniture,2111,less_100,4_to_7,3,majority,none,2,savings_insurance,34,bank,own,1,unemployed,2,none,yes,No Risk
96,no_checking,27,prior_payments_delayed,appliances,6455,100_to_500,4_to_7,3,majority,none,4,car_other,43,none,own,1,skilled,1,none,yes,No Risk
97,less_0,17,credits_paid_to_date,car_used,250,less_100,4_to_7,3,minority,none,2,real_estate,40,none,free,2,skilled,1,none,yes,Risk
98,no_checking,27,prior_payments_delayed,radio_tv,4521,100_to_500,less_1,4,majority,none,4,savings_insurance,28,none,own,1,management_self-employed,2,yes,yes,No Risk
99,no_checking,37,prior_payments_delayed,other,7945,500_to_1000,1_to_4,4,majority,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,No Risk
100,less_0,6,all_credits_paid_back,car_used,250,less_100,1_to_4,2,majority,none,2,savings_insurance,28,stores,rent,1,skilled,1,none,yes,No Risk
101,less_0,14,all_credits_paid_back,appliances,1431,less_100,unemployed,1,minority,none,1,car_other,25,stores,own,1,skilled,1,none,yes,Risk
102,greater_200,5,credits_paid_to_date,car_used,250,less_100,4_to_7,3,majority,none,2,savings_insurance,42,none,rent,1,skilled,1,none,yes,No Risk
103,less_0,11,all_credits_paid_back,furniture,2016,less_100,less_1,1,minority,none,1,car_other,34,bank,own,1,unemployed,1,none,yes,Risk
104,less_0,4,credits_paid_to_date,car_new,250,less_100,unemployed,1,minority,none,1,real_estate,29,none,rent,1,skilled,1,none,yes,Risk
105,0_to_200,16,prior_payments_delayed,radio_tv,1923,100_to_500,less_1,3,minority,none,2,car_other,46,none,rent,1,skilled,2,none,yes,Risk
106,less_0,5,prior_payments_delayed,car_used,2528,less_100,1_to_4,2,majority,none,2,real_estate,23,none,rent,1,skilled,1,none,yes,No Risk
107,greater_200,29,prior_payments_delayed,vacation,7083,500_to_1000,4_to_7,4,minority,none,4,unknown,49,none,own,2,skilled,2,yes,yes,Risk
108,no_checking,43,prior_payments_delayed,repairs,8886,greater_1000,greater_7,5,majority,co-applicant,4,car_other,35,none,free,2,skilled,1,yes,yes,No Risk
109,no_checking,24,prior_payments_delayed,radio_tv,4393,100_to_500,less_1,3,minority,none,3,real_estate,41,none,own,1,management_self-employed,1,none,yes,Risk
110,no_checking,32,outstanding_credit,appliances,8032,500_to_1000,1_to_4,3,majority,none,3,unknown,41,none,own,1,skilled,1,none,yes,No Risk
111,less_0,20,credits_paid_to_date,car_used,6201,500_to_1000,4_to_7,4,majority,guarantor,4,unknown,40,stores,own,2,unskilled,1,yes,yes,No Risk
112,0_to_200,28,prior_payments_delayed,car_used,3952,greater_1000,greater_7,4,majority,none,4,savings_insurance,36,none,own,2,skilled,1,none,yes,No Risk
113,less_0,16,prior_payments_delayed,car_used,2122,less_100,1_to_4,2,majority,none,3,car_other,32,none,own,2,skilled,1,none,yes,No Risk
114,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,majority,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
115,no_checking,29,outstanding_credit,appliances,5220,500_to_1000,greater_7,4,majority,co-applicant,3,car_other,52,none,free,2,skilled,1,yes,yes,No Risk
116,less_0,13,credits_paid_to_date,furniture,1276,500_to_1000,1_to_4,3,majority,none,1,real_estate,23,none,own,1,skilled,1,none,yes,No Risk
117,0_to_200,14,credits_paid_to_date,furniture,1074,less_100,4_to_7,3,majority,none,2,savings_insurance,35,none,rent,1,skilled,1,none,yes,No Risk
118,less_0,4,all_credits_paid_back,radio_tv,250,less_100,unemployed,2,majority,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
119,0_to_200,16,credits_paid_to_date,vacation,2691,less_100,1_to_4,3,minority,none,2,car_other,36,none,free,1,skilled,1,none,yes,Risk
120,greater_200,10,credits_paid_to_date,furniture,1668,less_100,less_1,2,minority,none,2,real_estate,20,none,own,1,skilled,1,none,yes,Risk
121,0_to_200,29,credits_paid_to_date,radio_tv,5536,less_100,4_to_7,3,minority,none,3,unknown,52,stores,own,2,skilled,1,yes,yes,Risk
122,0_to_200,20,credits_paid_to_date,car_used,3713,less_100,less_1,3,majority,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,No Risk
123,no_checking,32,outstanding_credit,repairs,6331,unknown,greater_7,5,majority,co-applicant,4,car_other,48,none,free,2,management_self-employed,2,yes,yes,No Risk
124,less_0,7,credits_paid_to_date,vacation,250,less_100,4_to_7,3,minority,none,3,real_estate,19,none,own,1,skilled,1,none,yes,Risk
125,less_0,33,credits_paid_to_date,business,2398,less_100,less_1,3,majority,none,3,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk
126,no_checking,37,prior_payments_delayed,other,5843,unknown,greater_7,5,majority,none,3,savings_insurance,49,none,own,3,skilled,2,yes,yes,No Risk
127,less_0,14,all_credits_paid_back,furniture,250,less_100,less_1,2,majority,none,1,real_estate,30,none,own,2,skilled,1,none,yes,No Risk
128,no_checking,25,prior_payments_delayed,radio_tv,7587,500_to_1000,1_to_4,4,majority,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,No Risk
129,0_to_200,13,prior_payments_delayed,radio_tv,2453,less_100,4_to_7,3,majority,none,2,car_other,39,none,own,2,skilled,1,none,yes,No Risk
130,0_to_200,4,prior_payments_delayed,car_used,357,less_100,less_1,2,minority,none,2,savings_insurance,34,bank,rent,1,unskilled,1,none,yes,Risk
131,0_to_200,18,prior_payments_delayed,retraining,7506,500_to_1000,1_to_4,3,majority,none,3,unknown,46,none,free,3,skilled,1,yes,yes,No Risk
132,less_0,14,prior_payments_delayed,furniture,1697,less_100,1_to_4,3,minority,none,3,car_other,19,none,own,1,skilled,1,none,yes,Risk
133,0_to_200,14,credits_paid_to_date,car_new,1939,500_to_1000,1_to_4,2,majority,co-applicant,4,car_other,36,none,free,1,skilled,1,yes,yes,No Risk
134,less_0,4,all_credits_paid_back,car_new,2783,less_100,less_1,2,minority,none,1,savings_insurance,31,none,own,1,skilled,1,none,yes,Risk
135,no_checking,35,outstanding_credit,appliances,6996,unknown,greater_7,5,majority,co-applicant,4,unknown,52,stores,own,2,unskilled,2,yes,yes,No Risk
136,no_checking,23,prior_payments_delayed,furniture,3786,greater_1000,4_to_7,4,majority,guarantor,5,car_other,38,none,own,1,skilled,1,yes,yes,No Risk
137,0_to_200,23,prior_payments_delayed,retraining,2964,less_100,less_1,2,majority,none,3,real_estate,32,none,own,1,skilled,1,yes,yes,No Risk
138,less_0,12,all_credits_paid_back,furniture,250,less_100,unemployed,2,minority,none,2,savings_insurance,27,bank,rent,1,unemployed,2,yes,yes,Risk
139,no_checking,25,outstanding_credit,education,5614,500_to_1000,1_to_4,4,majority,none,3,car_other,45,none,own,1,management_self-employed,1,none,yes,No Risk
140,less_0,4,all_credits_paid_back,vacation,2064,less_100,1_to_4,2,minority,none,1,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,Risk
141,no_checking,35,prior_payments_delayed,furniture,5222,unknown,greater_7,4,majority,guarantor,3,savings_insurance,53,none,free,2,skilled,2,yes,yes,No Risk
142,no_checking,25,credits_paid_to_date,car_used,2056,500_to_1000,4_to_7,3,majority,none,4,real_estate,30,stores,own,2,skilled,1,none,yes,No Risk
143,less_0,14,all_credits_paid_back,car_used,250,less_100,1_to_4,1,minority,none,2,car_other,33,stores,rent,1,unskilled,1,none,yes,Risk
144,no_checking,8,credits_paid_to_date,vacation,4448,less_100,4_to_7,2,majority,none,3,car_other,40,none,own,1,management_self-employed,1,yes,yes,No Risk
145,0_to_200,24,outstanding_credit,radio_tv,3091,500_to_1000,less_1,2,majority,none,3,savings_insurance,37,bank,rent,2,unskilled,2,yes,yes,No Risk
146,0_to_200,11,credits_paid_to_date,vacation,3605,less_100,1_to_4,3,minority,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
147,0_to_200,14,prior_payments_delayed,car_new,2609,less_100,4_to_7,4,majority,none,2,savings_insurance,33,bank,rent,1,unskilled,1,yes,yes,No Risk
148,no_checking,8,credits_paid_to_date,furniture,463,greater_1000,4_to_7,3,majority,none,4,savings_insurance,42,none,own,2,skilled,1,yes,yes,No Risk
149,greater_200,35,all_credits_paid_back,car_used,5208,less_100,4_to_7,3,majority,none,2,savings_insurance,31,none,own,2,skilled,1,yes,yes,No Risk
150,0_to_200,16,credits_paid_to_date,furniture,1524,less_100,less_1,1,minority,none,1,savings_insurance,36,stores,own,1,skilled,1,none,yes,Risk
151,0_to_200,22,credits_paid_to_date,radio_tv,2783,less_100,less_1,3,majority,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
152,no_checking,16,credits_paid_to_date,repairs,6907,less_100,less_1,4,minority,none,3,car_other,34,none,own,1,management_self-employed,1,yes,yes,Risk
153,less_0,16,all_credits_paid_back,car_new,250,100_to_500,less_1,1,majority,none,1,savings_insurance,20,none,rent,1,skilled,1,none,yes,No Risk
154,less_0,15,credits_paid_to_date,furniture,250,less_100,4_to_7,2,majority,none,1,savings_insurance,27,stores,own,1,skilled,1,none,yes,No Risk
155,no_checking,41,outstanding_credit,retraining,6674,500_to_1000,4_to_7,5,majority,none,5,savings_insurance,44,stores,free,2,unskilled,1,yes,yes,No Risk
156,0_to_200,26,credits_paid_to_date,radio_tv,250,less_100,4_to_7,2,majority,none,2,real_estate,22,stores,own,1,skilled,1,none,yes,No Risk
157,less_0,16,prior_payments_delayed,car_new,1149,less_100,1_to_4,3,majority,none,2,savings_insurance,45,none,own,2,skilled,1,yes,yes,No Risk
158,no_checking,25,prior_payments_delayed,repairs,4183,100_to_500,1_to_4,4,minority,none,2,car_other,24,none,own,1,skilled,1,none,yes,Risk
159,no_checking,40,outstanding_credit,retraining,7846,greater_1000,greater_7,4,majority,guarantor,4,unknown,56,none,free,2,skilled,1,yes,yes,No Risk
160,no_checking,13,all_credits_paid_back,furniture,778,less_100,4_to_7,2,majority,none,2,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
161,no_checking,50,outstanding_credit,appliances,7443,unknown,greater_7,4,majority,co-applicant,4,unknown,56,bank,own,3,unemployed,2,yes,yes,No Risk
162,0_to_200,25,outstanding_credit,furniture,1244,100_to_500,1_to_4,2,minority,none,3,savings_insurance,40,stores,free,2,skilled,1,yes,yes,Risk
163,0_to_200,25,all_credits_paid_back,radio_tv,2429,500_to_1000,1_to_4,3,majority,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
164,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,minority,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
165,no_checking,25,outstanding_credit,furniture,5371,500_to_1000,greater_7,4,majority,none,4,unknown,45,none,free,2,skilled,2,yes,yes,No Risk
166,no_checking,31,prior_payments_delayed,appliances,3453,500_to_1000,less_1,3,minority,co-applicant,3,savings_insurance,27,none,own,1,skilled,1,yes,yes,Risk
167,no_checking,35,prior_payments_delayed,repairs,5601,unknown,4_to_7,4,majority,none,5,car_other,42,none,rent,2,skilled,1,yes,yes,No Risk
168,0_to_200,4,prior_payments_delayed,car_new,250,less_100,1_to_4,2,majority,none,2,real_estate,29,none,own,1,skilled,1,none,yes,No Risk
169,0_to_200,19,credits_paid_to_date,retraining,5368,less_100,4_to_7,3,minority,none,1,unknown,42,none,own,1,skilled,2,none,yes,Risk
170,less_0,4,no_credits,car_new,250,less_100,unemployed,1,majority,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
171,no_checking,48,outstanding_credit,other,7083,500_to_1000,greater_7,5,majority,co-applicant,4,unknown,53,none,free,2,skilled,2,yes,yes,No Risk
172,0_to_200,18,credits_paid_to_date,car_new,250,less_100,unemployed,2,minority,none,2,real_estate,24,none,own,1,skilled,1,none,yes,Risk
173,no_checking,25,outstanding_credit,furniture,6221,unknown,4_to_7,4,majority,co-applicant,5,car_other,54,none,free,3,management_self-employed,2,yes,yes,No Risk
174,0_to_200,13,credits_paid_to_date,car_new,2719,500_to_1000,1_to_4,3,majority,none,2,savings_insurance,38,none,own,2,skilled,1,none,yes,No Risk
175,0_to_200,17,prior_payments_delayed,car_new,4188,greater_1000,greater_7,4,majority,none,3,unknown,43,none,own,2,skilled,1,none,yes,No Risk
176,0_to_200,5,no_credits,car_new,4855,less_100,unemployed,1,minority,none,3,car_other,25,none,own,1,skilled,1,none,yes,Risk
177,0_to_200,21,prior_payments_delayed,retraining,5308,greater_1000,greater_7,3,majority,none,3,unknown,40,none,own,2,skilled,1,none,yes,No Risk
178,0_to_200,6,prior_payments_delayed,car_new,3452,less_100,4_to_7,3,majority,co-applicant,4,car_other,48,none,own,1,skilled,1,none,yes,No Risk
179,no_checking,29,prior_payments_delayed,radio_tv,10213,500_to_1000,less_1,3,majority,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,No Risk
